2021-12-16 23:12:44 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (a97cd7f6fd21887365a78f01ddf28bdb)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:102 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (a97cd7f6fd21887365a78f01ddf28bdb)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:136 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (a97cd7f6fd21887365a78f01ddf28bdb)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:497 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:158 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:644 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (5ae9b4a3a839da0ba471dcee1ee49898)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:881 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (5ae9b4a3a839da0ba471dcee1ee49898)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:911 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (5ae9b4a3a839da0ba471dcee1ee49898)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:357 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:860 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (33d924295c87afcd8004a97eff5fc54c)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:878 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (33d924295c87afcd8004a97eff5fc54c)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:900 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (33d924295c87afcd8004a97eff5fc54c)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:764 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:458 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (55fcf92cfaaa46d9bb4d535351052ad8)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:482 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (55fcf92cfaaa46d9bb4d535351052ad8)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:500 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (55fcf92cfaaa46d9bb4d535351052ad8)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:22 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:282 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (b4ab3a2197c46a92b896510de19b8528)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:305 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (b4ab3a2197c46a92b896510de19b8528)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:398 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (b4ab3a2197c46a92b896510de19b8528)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:145 INFO  ManageDriver :30 - Launching Chrome Browser
